2020.coling-main.107	R19-1008	0.7826
2020.lrec-1.728	D17-2016	0.833565
2020.lrec-1.728	W16-1620	0.576845
2020.lrec-1.728	L18-1164	0.90455
2020.lrec-1.728	J19-3002	0.5
2020.pam-1.13	S19-2004	0.82754
2020.semeval-1.234	P19-3031	0.827819
2021.eacl-demos.36	W19-4516	0.918932
2021.eacl-demos.36	L18-1286	0.865385
2021.eacl-main.157	2021.eacl-main.145	0.814305
2021.emnlp-main.629	2021.bsnlp-1.4	0.660642
2021.gwc-1.15	P19-1474	0.89603
2021.gwc-1.15	2020.coling-main.276	0.820805
D17-2016	E17-1009	0.647167
D17-2016	W16-1620	0.761499
D17-2016	P17-1145	0.786442
E17-1009	W16-1620	0.723784
E17-1009	W12-0502	0.771556
E17-1009	L16-1421	0.84598
E17-1056	S16-1206	0.913086
E17-2087	S16-1206	0.871651
E17-2087	W11-2502	0.771569
F12-3003	W11-2502	0.813782
J19-3002	S16-1206	0.914841
J19-3002	L18-1286	0.835468
J19-3002	L18-1244	0.90656
J19-3002	W16-1620	0.894029
J19-3002	P17-1145	0.797757
J19-3002	P18-2010	0.815639
L18-1093	E17-1056	0.906433
L18-1093	W17-1909	0.92743
L18-1164	D17-2016	0.945865
L18-1164	W16-1620	0.943397
L18-1164	P17-1145	0.925562
L18-1244	S16-1206	0.906671
L18-1244	D17-2016	0.832821
L18-1244	E17-2087	0.887253
L18-1244	P17-1145	0.586116
P17-1145	W11-2502	0.770689
P17-1145	E17-1009	0.881247
P17-1145	W16-1620	0.802218
P18-2010	L18-1286	0.87147
P18-2010	P17-1145	0.73043
P19-1316	P19-1474	0.87498
P19-1316	S16-1206	0.884605
P19-1325	S19-1014	0.822582
P19-3031	L18-1286	0.859356
R19-1008	S19-2018	0.834716
R19-1008	W16-1620	0.817547
S19-2018	P18-2010	0.635096
W17-1909	W16-1620	0.89163
W19-4516	L18-1286	0.850117
