C90-2035	C88-1057	0.889144
D08-1073	D08-1027	0.0281711
D11-1117	W10-2902	0.810254
D11-1117	P10-1130	0.855913
D11-1118	N10-1116	0.68458
D11-1118	W10-2902	0.909952
D11-1118	W11-0303	0.803972
D12-1063	D11-1117	0.942736
D12-1063	W11-0303	0.909365
D12-1063	W12-1903	0.763219
D13-1204	W10-2902	0.709401
D13-1204	D11-1117	0.889051
D13-1204	W11-0303	0.916587
D13-1204	D11-1118	0.860561
D13-1204	D12-1063	0.625809
J00-3003	W98-0319	0.400792
N01-1024	W00-0712	0.84234
N04-1032	J02-3001	0.343478
N04-4036	P00-1065	0.910949
N04-4036	J02-3001	0.584303
N10-1080	N10-2003	0.719283
N10-1080	D08-1027	0.129613
N10-1080	I05-3027	0.5
P05-1072	P00-1065	0.378562
P05-1072	J02-3001	0.885159
P05-1072	W04-2416	0.736909
P09-1113	D08-1027	0.0866059
P10-1130	P09-1113	0.167247
P10-1130	N10-1116	0.714456
P10-1130	W10-2902	0.858668
reschke-etal-2014-event	P09-1113	0.5
W00-0905	P98-2184	0.5
W00-0905	C98-2179	0.5
W01-0513	W00-0712	0.821657
W05-0634	J02-3001	0.761681
W05-0634	W04-2416	0.861755
W05-0634	P05-1072	0.75393
W09-0436	I05-3005	0.751428
W10-2902	P10-1130	0.698579
W11-0303	W05-0634	0.254333
W11-0303	W10-2902	0.565198
W11-0303	P10-1130	0.905035
W11-1516	D08-1038	0.874041
W12-1903	N10-1116	0.927286
W12-1903	P10-1130	0.924388
W12-1903	D11-1117	0.932484
W12-1903	W11-0303	0.893252
W12-1903	D11-1118	0.929567
W12-1903	D12-1063	0.689519
