2020.acl-main.208	P17-1105	0.920606
2020.acl-main.557	P15-1030	0.843069
2020.acl-main.557	P19-1340	0.807525
2020.acl-main.557	P17-1076	0.929995
2020.emnlp-main.389	P18-1249	0.847902
2020.emnlp-main.389	P02-1017	0.791886
2020.emnlp-main.389	P17-1076	0.866168
2021.naacl-main.81	P19-1655	0.800081
D07-1072	P03-1054	0.0589178
D07-1072	P06-1055	0.592342
D07-1094	P06-1055	0.930124
D08-1012	N07-1052	0.832804
D08-1012	N03-1016	0.831454
D08-1012	N07-1051	0.772129
D08-1012	P06-1055	0.434994
D08-1033	P08-2007	0.27816
D08-1033	W06-3105	0.836239
D08-1033	P07-1107	0.305536
D08-1091	P03-1054	0.0687685
D08-1091	D07-1072	0.509376
D08-1091	N07-1051	0.623478
D08-1091	P06-1055	0.760875
D08-1091	W04-3201	0.951658
D08-1092	P07-1003	0.598052
D08-1092	N06-1014	0.119273
D08-1092	N07-1051	0.100535
D09-1120	P07-1107	0.861764
D09-1120	P03-1054	0.0387527
D09-1147	D08-1012	0.873057
D10-1040	P09-1011	0.755924
D10-1049	P09-1011	0.0757203
D11-1029	D07-1093	0.897144
D11-1029	N09-1008	0.895478
D11-1029	P08-1088	0.95558
D11-1029	P10-1105	0.948406
D11-1032	D07-1093	0.808353
D11-1032	N09-1008	0.79244
D11-1032	P10-1105	0.5
D12-1001	P10-1131	0.5
D12-1001	P11-1070	0.5
D12-1001	P06-1111	0.5
D12-1001	P06-1055	0.5
D12-1001	P04-1061	0.5
D12-1001	N06-1014	0.5
D12-1079	N10-1015	0.878466
D12-1079	P07-1003	0.845127
D12-1079	N06-1014	0.740853
D12-1079	N07-1051	0.77206
D12-1091	P09-1104	0.559336
D12-1091	P03-1054	0.0361194
D12-1091	N06-1014	0.395006
D12-1091	P06-1055	0.328321
D12-1096	P03-1054	0.0285971
D12-1096	N07-1051	0.581759
D12-1096	P06-1055	0.700645
D12-1105	N12-1004	0.83832
D12-1105	N10-1015	0.854699
D12-1105	P03-1054	0.387408
D12-1105	N07-1051	0.875654
D12-1105	D08-1091	0.527927
D12-1105	P06-1055	0.945151
D13-1027	D13-1203	0.304001
D13-1027	D09-1120	0.782568
D13-1027	W11-1916	0.897324
D13-1027	D12-1096	0.724273
D13-1087	D11-1029	0.884174
D13-1195	P03-1054	0.0323976
D13-1195	P06-1055	0.645001
D13-1195	N07-1051	0.5
D13-1203	P12-1041	0.723037
D13-1203	P13-1012	0.797376
D13-1203	D09-1120	0.780034
D13-1203	N10-1061	0.953109
D15-1032	D13-1203	0.83022
D15-1032	Q14-1037	0.270541
D15-1032	P11-1049	0.722984
D15-1032	P15-1030	0.0373143
D15-1032	P14-1022	0.5352
D15-1032	W04-3201	0.893268
D15-1138	W14-1607	0.909453
D15-1138	J13-2005	0.400173
D15-1138	P11-1060	0.5
D16-1125	D10-1040	0.785838
D17-1015	D10-1040	0.768771
D17-1178	P17-1076	0.781881
D17-1178	P17-2025	0.721082
D17-1311	P17-1022	0.76693
D19-1225	P13-1021	0.814248
D19-1225	P14-2020	0.872487
J13-2005	P11-1060	0.174971
J13-2005	P09-1011	0.879128
J13-2005	N09-1069	0.74662
J13-2005	P06-1055	0.165372
N03-1016	W01-1812	0.920619
N03-1016	P01-1044	0.840817
N03-1033	W02-1002	0.136285
N06-1014	P04-1061	0.146867
N06-1014	H05-1010	0.627741
N06-1015	N06-1014	0.681615
N06-1015	H05-1010	0.870332
N06-1041	P05-1046	0.331653
N07-1051	P03-1054	0.366151
N07-1051	P06-1055	0.770953
N09-1026	P03-1054	0.0267897
N09-1026	N07-1051	0.838206
N09-1026	P06-1055	0.723838
N09-1026	D08-1012	0.9397
N09-1063	N07-1052	0.785905
N09-1063	N03-1016	0.366239
N09-1063	N07-1051	0.936948
N09-1063	P03-1054	0.5
N09-1063	P06-1055	0.5
N09-1069	P08-1100	0.875983
N10-1014	N10-1015	0.831836
N10-1014	P07-1003	0.954134
N10-1014	W06-3105	0.843418
N10-1014	N09-1026	0.844954
N10-1014	P09-1104	0.872906
N10-1014	N06-1014	0.807301
N10-1015	D08-1092	0.842581
N10-1015	P07-1003	0.596185
N10-1015	P09-1104	0.233768
N10-1015	N06-1014	0.441667
N10-1015	N07-1051	0.518137
N10-1015	H05-1010	0.5259
N10-1061	P07-1107	0.936714
N10-1061	D09-1120	0.513018
N10-1061	P06-1055	0.0603696
N10-1061	N06-1041	0.5
N10-1082	N09-1026	0.834248
N10-1082	N06-1041	0.561614
N10-1082	P06-1055	0.111558
N10-1083	P07-1003	0.716969
N10-1083	P09-1104	0.664262
N10-1083	P04-1061	0.924351
N10-1083	N09-1069	0.872403
N10-1083	N06-1014	0.244933
N10-1083	N06-1041	0.5
N10-1083	P06-1111	0.5
N12-1004	P10-1147	0.196918
N12-1004	W06-3105	0.793194
N12-1004	D08-1033	0.889402
N12-1004	P09-1104	0.900081
N12-1004	N06-1014	0.735956
N12-1004	H05-1010	0.790761
N15-1029	P06-1055	0.144346
N15-1109	P14-2020	0.788188
N15-1109	P13-1021	0.598859
N16-1150	Q14-1037	0.701957
N16-1181	P11-1060	0.843642
N18-1091	P14-1022	0.954183
N18-1091	P03-1054	0.0678126
N18-1091	N07-1051	0.758355
N18-1091	P17-1076	0.846269
N18-1091	N03-1033	0.0682566
N18-1177	D10-1040	0.644454
N19-1410	D10-1040	0.556817
P02-1017	W01-0714	0.788755
P03-1054	P01-1044	0.13755
P04-1061	P02-1017	0.666116
P06-1055	P03-1054	0.417007
P06-1111	P02-1017	0.21244
P06-1111	P04-1061	0.514807
P07-1003	N06-1014	0.924763
P07-1003	H05-1010	0.42338
P08-1100	P05-1046	0.824376
P08-1100	P04-1061	0.965617
P08-2007	W06-3105	0.812183
P08-2007	P06-1096	0.224556
P09-1011	D08-1033	0.619859
P09-1011	P05-1046	0.205742
P09-1011	N06-1014	0.612603
P09-1104	P07-1003	0.743967
P09-1104	P08-2007	0.0414573
P09-1104	N09-1026	0.810211
P09-1104	N06-1015	0.455258
P09-1104	N06-1014	0.70755
P09-1104	D08-1012	0.831177
P09-1104	H05-1010	0.548785
P09-1108	N09-1063	0.914386
P09-1108	P06-1055	0.650413
P09-1108	N07-1052	0.843921
P09-1108	W01-1812	0.813667
P09-1108	P03-1054	0.404224
P09-1108	N03-1016	0.540153
P09-2036	N09-1026	0.882842
P09-2036	N07-1051	0.5
P10-1105	D07-1093	0.740234
P10-1105	N09-1008	0.730519
P10-1112	P03-1054	0.223084
P10-1112	N07-1051	0.748561
P10-1112	D08-1091	0.651745
P10-1112	P06-1055	0.842051
P10-1112	D08-1012	0.0957222
P10-1131	N10-1083	0.230173
P10-1131	D07-1093	0.714797
P10-1131	D08-1092	0.430261
P10-1131	P04-1061	0.564388
P10-1147	P07-1003	0.949486
P10-1147	D08-1033	0.665858
P10-1147	P09-1104	0.816047
P10-1147	N03-1016	0.375845
P10-1147	P08-2007	0.304937
P10-1147	W06-3105	0.181167
P10-1147	N06-1015	0.93101
P10-1147	H05-1010	0.85326
P10-1147	N06-1014	0.872769
P10-2037	W01-1812	0.776118
P10-2037	N03-1016	0.920129
P10-2037	P09-1108	0.935694
P10-2037	P06-1055	0.677118
P10-2054	N10-1061	0.873528
P10-2054	P06-1055	0.578415
P10-2064	P06-1055	0.6271
P10-2064	N03-1016	0.712356
P10-2064	N09-1063	0.86308
P11-1049	P06-1096	0.262422
P11-1049	W04-3201	0.160476
P11-1060	P09-1011	0.536083
P11-1060	P06-1055	0.413012
P11-1060	N09-1069	0.5
P11-1070	P06-1055	0.0718814
P11-2127	P10-1112	0.871391
P11-2127	P03-1054	0.107655
P11-2127	N07-1051	0.819401
P11-2127	P06-1055	0.874824
P12-1041	P11-1070	0.881287
P12-1041	D09-1120	0.967
P12-1041	N10-1061	0.570643
P12-1101	P03-1054	0.168847
P12-1101	P11-1027	0.865409
P12-1101	P06-1055	0.545143
P12-2021	P03-1054	0.0215858
P12-2021	N07-1051	0.802091
P13-1012	P12-1041	0.844664
P13-1012	N10-1061	0.85998
P13-1012	N12-1004	0.837515
P13-1012	P06-1055	0.0610045
P13-1021	D11-1029	0.848221
P13-1021	N10-1083	0.467591
P13-1021	D08-1012	0.899245
P13-2018	P03-1054	0.0191192
P13-2018	D12-1096	0.875836
P13-2018	P06-1055	0.686979
P13-2018	N07-1051	0.5
P14-1020	D13-1195	0.152689
P14-1020	N07-1051	0.909398
P14-1022	D12-1105	0.819196
P14-1022	P03-1054	0.142646
P14-1022	W04-3201	0.874709
P14-1022	N03-1033	0.0577354
P14-1022	N07-1051	0.929923
P14-1022	D08-1091	0.84872
P14-1022	P06-1055	0.750388
P14-1098	P11-1070	0.486021
P14-2020	P13-1021	0.803406
P14-2020	D08-1012	0.893269
P14-2133	N07-1051	0.646584
P15-1030	P14-2133	0.856453
P15-1030	N07-1051	0.899028
P15-1030	P14-1022	0.115909
P15-1030	D08-1091	0.843811
P15-1030	P03-1054	0.0651747
P16-1188	P11-1049	0.934644
P16-1188	D13-1203	0.744439
P16-1188	Q14-1037	0.910185
P16-1188	D15-1032	0.437982
P16-1188	P14-1020	0.819066
P16-1188	P06-1055	0.129979
P17-1022	D16-1125	0.839691
P17-1076	P03-1054	0.0790107
P17-1076	N07-1051	0.404147
P17-1076	N03-1033	0.16234
P17-1105	J13-2005	0.830509
P17-1105	P11-1060	0.5
P17-2052	Q14-1037	0.84888
P17-2052	D15-1032	0.802889
P18-1249	P15-1030	0.951225
P18-1249	P17-2025	0.869112
P18-1249	N18-1091	0.79425
P18-1249	P14-1022	0.871805
P18-1249	P17-1076	0.732315
P18-1249	D17-1178	0.855067
P18-2075	P17-2025	0.731015
P18-2075	N18-1091	0.729461
P18-2075	P17-1076	0.0658021
P18-2075	N03-1033	0.11853
P19-1031	P19-1340	0.895954
P19-1031	P18-1249	0.862589
P19-1031	P17-2025	0.880769
P19-1031	P17-1076	0.920164
P19-1031	N07-1051	0.564412
P19-1188	D17-1311	0.89784
P19-1188	N18-1197	0.882986
P19-1340	D12-1091	0.874317
P19-1340	P18-2075	0.898978
P19-1340	P17-2025	0.921306
P19-1340	P18-1249	0.738326
P19-1655	D15-1138	0.899681
P19-1655	N18-1177	0.393695
Q14-1037	P12-1041	0.831013
Q14-1037	N12-1004	0.849804
Q14-1037	D13-1203	0.830037
Q14-1037	P13-1012	0.864729
Q14-1037	D09-1120	0.347203
Q14-1037	N10-1061	0.736533
Q14-1037	P06-1055	0.154267
Q17-1031	D15-1032	0.90542
W01-1812	P01-1044	0.922282
W04-3201	P03-1054	0.0643329
W04-3201	N03-1033	0.110006
W05-0104	P03-1054	0.0244012
W06-2903	P03-1054	0.397849
W08-1005	P03-1054	0.132934
W08-1005	N07-1051	0.948011
W08-1005	P06-1055	0.589636
W10-2906	N07-1051	0.365502
W10-2906	D08-1092	0.701008
W10-2906	P06-1055	0.1235
W11-1916	N10-1061	0.916509
W11-1916	P06-1055	0.631097
W14-1607	J13-2005	0.795549
W14-1607	N07-1051	0.547524
W14-1607	D10-1040	0.900242
W14-1607	P11-1060	0.5
