2020.argmining-1.13	2020.coling-main.402	0.564322
2020.coling-main.402	2020.argmining-1.13	0.421537
2021.emnlp-main.100	P14-2029	0.912318
2021.emnlp-main.100	Q16-1005	0.888573
2021.emnlp-main.100	N18-1012	0.912261
2021.gem-1.6	P14-2029	0.864675
2021.gem-1.6	N18-1012	0.902839
2021.naacl-main.256	P14-2029	0.839819
2021.naacl-main.256	Q16-1005	0.925805
2021.naacl-main.256	N18-1012	0.936782
C08-1109	W08-1205	0.547726
C08-1109	W07-1604	0.733173
C12-1038	han-etal-2010-using	0.627698
C12-1038	N12-1029	0.845321
C12-1038	P11-2089	0.69726
C12-1038	W11-2111	0.821062
C12-1038	W08-1205	0.759732
C12-1038	C08-1109	0.657801
C12-1038	P10-2065	0.845196
C12-1158	C08-1109	0.893112
C14-3004	W13-3601	0.77859
D11-1119	W07-1604	0.878565
D11-1119	C08-1109	0.808685
D11-1119	P10-2065	0.802253
D16-1228	P14-2029	0.823958
D16-1228	P15-2097	0.876426
D16-1228	W13-3601	0.785495
D16-1228	W11-2111	0.84553
D16-1228	Q16-1013	0.911412
D16-1228	W08-1205	0.535486
E14-4010	D13-1013	0.773763
E17-2037	P15-2097	0.820565
E17-2037	W13-3601	0.9381
E17-2037	Q16-1013	0.836222
E17-2037	P14-2029	0.874996
E99-1031	P99-1079	0.838312
han-etal-2010-using	W08-1205	0.5
han-etal-2010-using	W07-1604	0.5
J01-4003	E99-1031	0.872236
J01-4003	P99-1079	0.855329
N06-1035	E06-1037	0.904803
N07-1035	N06-1035	0.81042
N07-2001	N06-1035	0.860394
N12-1019	P11-2089	0.745416
N12-1029	C08-1109	0.866655
N12-1029	P10-2065	0.918
N13-1055	C12-1038	0.818668
N13-1055	C08-1109	0.960607
N13-1055	P10-2065	0.572162
N13-1055	han-etal-2010-using	0.5
N18-1012	P14-2029	0.844587
N18-1012	D16-1228	0.830072
N18-1012	Q16-1005	0.863835
P10-2065	W07-1604	0.645202
P10-2065	C08-1109	0.709664
P10-2065	W08-1205	0.791661
P11-2089	C08-1109	0.664593
P11-2089	W10-1006	0.836109
P14-2029	W11-2111	0.923297
P14-2029	C08-1109	0.271581
P15-2097	W13-3601	0.745346
P15-2097	C12-1038	0.763083
Q16-1013	C12-1038	0.764396
Q16-1013	P11-2089	0.931933
Q16-1013	P15-2097	0.127014
Q16-1013	W13-3601	0.930945
Q16-1013	W08-1205	0.952379
Q16-1013	W10-1006	0.882862
Q19-1032	P14-2029	0.832405
Q19-1032	W13-3601	0.822888
Q19-1032	P15-2097	0.865957
Q19-1032	D16-1228	0.950971
Q19-1032	E17-2037	0.940418
Q19-1032	Q16-1013	0.93075
W04-0214	swift-etal-2004-semi	0.5
W04-0214	J01-4003	0.5
W04-0304	W04-0214	0.799355
W08-1205	W07-1604	0.675429
W08-1205	C08-1109	0.46915
W09-3010	W08-1205	0.5
W10-1006	C08-1109	0.85996
W10-1006	W08-1205	0.867989
W11-2111	C08-1109	0.871697
W12-2027	W07-1604	0.823641
W12-2027	C08-1109	0.913083
W13-1706	C12-1158	0.829245
W13-3601	P10-2065	0.493158
W15-0620	C12-1158	0.820422
W15-0620	W13-1706	0.864163
W16-3638	W13-1706	0.738086
W17-5007	W15-0620	0.926713
W17-5007	W13-1706	0.61284
W17-5007	C12-1158	0.924147
W17-5019	N13-1055	0.857554
W17-5019	C12-1038	0.89541
W17-5019	E17-2037	0.752535
W17-5019	P14-2029	0.891984
W17-5019	W13-3601	0.949916
W17-5019	Q16-1013	0.926664
W17-5019	P15-2097	0.885606
W18-5023	N10-1099	0.958252
W18-5023	Q16-1005	0.83641
W18-6105	P10-2065	0.771801
W18-6105	W12-2005	0.827336
W18-6105	W13-3601	0.841248
