2020.acl-main.437	P19-1533	0.815841
2020.findings-emnlp.313	D19-1040	0.833327
C16-1038	N15-1009	0.716868
C16-1038	P15-2132	0.899567
C16-1038	P15-2032	0.908968
C16-1038	P16-2002	0.842343
C16-1193	N15-1009	0.690831
C16-1193	P15-2132	0.872887
C16-1193	P15-2032	0.830449
C16-1193	P16-2002	0.807908
D17-1075	P15-1124	0.855754
N12-1094	E12-1076	0.90543
N13-1015	P12-1024	0.782914
N13-4005	N13-1015	0.5
N19-1113	Q16-1018	0.824706
P15-1046	N15-1009	0.310738
P15-1124	N13-1015	0.150368
P15-2032	N15-1009	0.34724
P15-2032	P15-2132	0.543027
P15-2032	P15-1046	0.471341
P15-2132	P15-1046	0.609734
P15-2132	N15-1009	0.309831
P15-2132	P15-2032	0.517976
P16-2002	P15-2132	0.866296
P16-2002	P15-2032	0.498603
P16-2002	P15-1046	0.929507
P16-2002	W15-1511	0.843538
P16-2002	N15-1009	0.5
P17-1060	N15-1009	0.739317
P17-1060	P17-1119	0.268559
P17-1060	P15-2132	0.857862
P17-1060	P15-2032	0.835715
P17-1060	C16-1193	0.943688
P17-1060	C16-1038	0.647854
P17-1060	P16-2002	0.914095
P17-1119	N15-1009	0.687347
P17-1119	P17-1060	0.268354
P17-1119	P15-2132	0.868211
P17-1119	P15-2032	0.816611
P17-1119	C16-1193	0.943775
P17-1119	C16-1038	0.566274
P17-1119	P16-2002	0.91564
Q16-1018	P15-1124	0.905872
W13-3507	P12-1024	0.909167
W13-3507	N13-1015	0.903398
W17-4119	P15-1124	0.899574
W18-2901	D17-1075	0.73406
