2020.coling-main.556	2020.lrec-1.606	0.81348
2020.lrec-1.218	E17-2046	0.938729
2020.lrec-1.218	K18-1023	0.850966
2020.lrec-1.218	P15-1154	0.932131
2020.lrec-1.606	W19-2101	0.288319
asheghi-etal-2014-designing	sharoff-etal-2010-web	0.5
C08-1104	W08-1207	0.883333
C18-1325	N09-1001	0.79684
D11-1068	al-saif-markert-2010-leeds	0.821024
D13-1077	C96-1084	0.857455
D13-1077	N13-1111	0.837932
D13-1077	W03-2606	0.866159
D13-1077	P12-1084	0.81519
D13-1077	W03-1023	0.897984
D14-1222	N13-1111	0.526785
D14-1222	W03-2606	0.92684
D14-1222	P12-1084	0.522065
D14-1222	W03-1023	0.817243
D14-1222	D13-1077	0.5
D19-5403	E17-2046	0.726382
D19-5403	K18-1023	0.182096
J05-3004	C96-1084	0.837701
J05-3004	W03-2606	0.863702
J05-3004	W03-1023	0.797908
J18-2002	C96-1084	0.561768
J18-2002	D13-1077	0.667552
J18-2002	N13-1111	0.870902
J18-2002	P12-1084	0.891789
J18-2002	W03-2606	0.847151
J18-2002	D14-1222	0.5
K18-1023	E17-2046	0.609022
K18-1023	P15-1154	0.814243
N09-1001	W08-1207	0.934645
N09-1001	C08-1104	0.5
N10-1054	C08-1104	0.920769
N13-1111	W03-2606	0.905518
N13-1111	P12-1084	0.653732
N13-1111	W03-1023	0.936625
P03-1008	W02-1027	0.795724
P03-1008	markert-nissim-2002-towards	0.752782
P10-1077	sharoff-etal-2010-web	0.854367
P12-1084	J05-3004	0.860388
P12-1084	W03-1023	0.870658
R11-1037	J05-3004	0.92076
R11-1037	W03-2606	0.747626
R11-1037	D11-1068	0.5
R11-1037	P12-1084	0.5
S07-1007	W02-1027	0.847667
S07-1007	P03-1008	0.870149
W02-1027	markert-nissim-2002-towards	0.5
W03-1023	W03-2606	0.561576
W13-0115	P12-1084	0.822311
W13-0115	W03-2606	0.538972
W13-0115	J05-3004	0.807238
W13-0115	R11-1037	0.645438
W14-3706	asheghi-etal-2014-designing	0.912506
W14-3706	sharoff-etal-2010-web	0.685924
