2021.iwpt-1.3	2021	-1	-2
2021.cmcl-1.13	2021	-1	-2
2020.coling-main.298	2020	-1	-2
N19-1393	2019	1	-2
D19-5803	2019	0	-2
2019.jeptalnrecital-court.4	2019	-1	-2
L18-1014	2018	1	-2
L18-1159	2018	4	-2
L18-1716	2018	-2	0
2018.jeptalnrecital-long.13	2018	-1	-2
2018.jeptalnrecital-court.42	2018	-1	-2
W17-6311	2017	1	-2
D17-1180	2017	9	-2
W16-3621	2016	-2	0
W16-3309	2016	0	-2
L16-1363	2016	0	-2
J16-1002	2016	2	-2
C16-1040	2016	4	-2
W15-3207	2015	5	-2
W15-0212	2015	3	-2
P15-1108	2015	-2	0
W14-5311	2014	6	-2
nasr-etal-2014-automatically	2014	7	-2
N13-1024	2013	9	-2
F13-1029	2013	-1	-2
2013.mtsummit-papers.16	2013	8	-2
W12-5107	2012	0	-2
W12-3412	2012	-2	0
S12-1024	2012	1	-2
P12-1082	2012	7	-2
bazillon-etal-2012-syntactic	2012	8	-2
W11-2917	2011	18	-2
P11-4015	2011	30	-2
I11-1007	2011	8	-2
2011.jeptalnrecital-long.8	2011	-1	-2
2011.jeptalnrecital-long.26	2011	-1	-2
2011.jeptalnrecital-court.5	2011	-1	-2
2010.jeptalnrecital-demonstration.16	2010	-1	-2
W09-3818	2009	4	-2
N09-2047	2009	20	-2
2009.jeptalnrecital-long.3	2009	-1	-2
W04-3308	2004	19	-2
W04-1503	2004	-1	-2
C04-1082	2004	-2	0
2004.jeptalnrecital-long.10	2004	-1	-2
W02-2214	2002	3	-2
C02-2026	2002	10	-2
P00-1011	2000	49	-2
P98-1106	1998	74	-2
C98-1102	1998	74	-2
palmer-etal-1998-rapid	1998	14	-2
1997.mtsummit-workshop.12	1997	12	-2
1995.iwpt-1.23	1995	-1	-2
