2020.ngt-1.1	2020	-1	-2
D19-5601	2019	1	-2
W18-2701	2018	1	-2
P17-2089	2017	26	-2
W16-4613	2016	1	-2
W16-2711	2016	10	-2
N16-1046	2016	22	-2
N16-1124	2016	0	-2
L16-1249	2016	15	-2
C16-2007	2016	1	-2
C16-1291	2016	24	-2
Y15-1030	2015	0	-2
W15-3909	2015	12	-2
D15-1128	2015	0	-2
D15-1209	2015	4	-2
2015.mtsummit-papers.4	2015	-1	-2
W14-5503	2014	2	-2
P14-2122	2014	7	-2
D14-1173	2014	-2	0
2014.iwslt-papers.5	2014	5	-2
2014.iwslt-papers.8	2014	-1	-2
2014.iwslt-evaluation.20	2014	-1	-2
P13-2070	2013	2	-2
2013.mtsummit-papers.3	2013	-1	-2
W12-4406	2012	8	-2
2012.iwslt-evaluation.16	2012	2	-2
W11-3203	2011	10	-2
W11-3208	2011	6	-2
W11-2601	2011	3	-2
2011.iwslt-evaluation.5	2011	3	-2
2011.iwslt-evaluation.22	2011	-2	0
W10-3804	2010	2	-2
W10-2406	2010	22	-2
W10-1760	2010	7	-2
2010.iwslt-papers.7	2010	28	-2
2010.iwslt-evaluation.18	2010	-2	0
W09-3510	2009	9	-2
W09-0418	2009	7	-2
D09-1117	2009	16	-2
W08-0334	2008	36	-2
I08-8003	2008	34	-2
2008.iwslt-evaluation.11	2008	14	-2
2007.tmi-papers.19	2007	-1	-2
2007.iwslt-1.15	2007	12	-2
P06-2028	2006	-2	0
2006.iwslt-evaluation.12	2006	38	-2
I05-5003	2005	75	-2
finch-etal-2004-automatic	2004	-2	0
2004.iwslt-evaluation.2	2004	14	-2
E03-1048	2003	14	-2
finch-etal-2002-beyond	2002	0	-2
W99-0607	1999	2	-2
P98-1020	1998	6	-2
P98-1108	1998	9	-2
C98-1020	1998	6	-2
C98-1104	1998	9	-2
