W15-3058	2015	-2	0
W14-3335	2014	-2	0
2012.iwslt-keynotes.1	2012	0	-2
P11-2112	2011	14	-2
W10-1736	2010	64	-2
W10-1757	2010	9	-2
D10-1092	2010	155	-2
W09-3917	2009	21	-2
P09-2086	2009	9	-2
P09-1093	2009	5	-2
D09-1058	2009	73	-2
2009.iwslt-papers.3	2009	7	-2
P08-1076	2008	113	-2
I08-2116	2008	13	-2
I08-1055	2008	50	-2
2008.iwslt-evaluation.13	2008	3	-2
P07-2030	2007	9	-2
D07-1080	2007	176	-2
D07-1083	2007	33	-2
2007.iwslt-1.16	2007	2	-2
W06-3115	2006	6	-2
P06-1028	2006	45	-2
P06-1078	2006	16	-2
P06-1098	2006	45	-2
2006.iwslt-evaluation.14	2006	15	-2
P05-1024	2005	47	-2
H05-1019	2005	-2	0
2005.iwslt-1.15	2005	4	-2
W04-1014	2004	-1	-2
P04-1016	2004	34	-2
C04-1040	2004	10	-2
C04-1064	2004	23	-2
W03-1024	2003	26	-2
P03-2028	2003	14	-2
C02-1053	2002	62	-2
C02-1054	2002	217	-2
P01-1041	2001	42	-2
