2021.naacl-main.225	2021	-1	-2
2021.naacl-main.421	2021	-1	-2
2021.emnlp-main.448	2021	-1	-2
2021.conll-1.7	2021	-1	-2
2021.acl-long.70	2021	-1	-2
2021.acl-long.143	2021	-1	-2
2021.acl-long.284	2021	-1	-2
2021.acl-long.382	2021	-1	-2
2020.tacl-1.36	2020	-1	-2
2020.emnlp-main.703	2020	7	-2
2020.acl-main.676	2020	-1	-2
N19-1410	2019	4	-2
N18-1177	2018	11	-2
N18-1197	2018	8	-2
P17-1022	2017	-1	-2
P17-1076	2017	-2	1
D17-1311	2017	3	-2
N16-1181	2016	205	-2
D16-1125	2016	36	-2
N15-1027	2015	30	-2
D15-1138	2015	17	-2
W14-1607	2014	10	-2
P14-2133	2014	36	-2
W13-3211	2013	-2	0
P13-2009	2013	-2	1
P13-1091	2013	47	-2
W12-2105	2012	21	-2
andreas-etal-2012-annotating	2012	19	-2
C12-1083	2012	82	-2
W11-2127	2011	8	-2
W10-0702	2010	20	-2
rosenthal-etal-2010-towards	2010	6	-2
