2021.naacl-main.259	2021	-1	-2
2021.findings-emnlp.346	2021	-1	-2
2021.findings-acl.17	2021	-1	-2
2021.findings-acl.307	2021	-1	-2
2021.findings-acl.365	2021	-1	-2
2021.crac-1.12	2021	-1	-2
2020.spnlp-1.8	2020	-1	-2
2020.repl4nlp-1.3	2020	0	-2
2020.repl4nlp-1.20	2020	-1	-2
2020.findings-emnlp.313	2020	-1	-2
2020.emnlp-main.449	2020	-1	-2
2020.emnlp-main.614	2020	-1	-2
2020.emnlp-main.657	2020	-1	-2
2020.emnlp-main.685	2020	-1	-2
2020.bea-1.10	2020	-1	-2
2020.acl-main.251	2020	0	-2
2020.acl-main.481	2020	0	-2
P19-1180	2019	1	-2
P19-1427	2019	10	-2
P19-1453	2019	7	-2
P19-1599	2019	5	-2
N19-1089	2019	-2	0
N19-1254	2019	10	-2
N19-1335	2019	5	-2
D19-5605	2019	0	-2
D19-5614	2019	0	-2
D19-1040	2019	-2	0
D19-1048	2019	0	-2
D19-1060	2019	3	-2
S18-2024	2018	3	-2
P18-1042	2018	46	-2
N18-2116	2018	2	-2
N18-1007	2018	11	-2
N18-1170	2018	29	-2
D18-1020	2018	9	-2
W17-2604	2017	7	-2
W17-2632	2017	4	-2
P17-2097	2017	20	-2
P17-1190	2017	-2	1
E17-2009	2017	12	-2
D17-1026	2017	-2	0
W16-1612	2016	2	-2
S16-1170	2016	16	-2
P16-1137	2016	39	-2
D16-1157	2016	27	-2
D16-1241	2016	40	-2
Q15-1005	2015	20	-2
Q15-1025	2015	117	-2
P15-2115	2015	33	-2
N15-1028	2015	-2	1
D15-1181	2015	187	-2
P14-2131	2014	204	-2
J14-2005	2014	9	-2
D14-1139	2014	2	-2
N13-1039	2013	-2	1
D13-1111	2013	52	-2
N12-1023	2012	60	-2
N12-1069	2012	12	-2
D12-1124	2012	16	-2
W11-2139	2011	10	-2
W11-2165	2011	12	-2
P11-2008	2011	673	-2
D11-1044	2011	5	-2
W10-2925	2010	31	-2
N10-1038	2010	128	-2
N10-1112	2010	80	-2
E09-1037	2009	11	-2
D09-1023	2009	20	-2
W08-0302	2008	50	-2
