2021.emnlp-main.226	2021	-1	-2
2020.semeval-1.129	2020	-1	-2
2020.acl-main.299	2020	0	-2
P19-1131	2019	6	-2
P19-1237	2019	7	-2
P19-1514	2019	1	-2
D19-1635	2019	2	-2
S18-1035	2018	1	-2
S18-1068	2018	1	-2
S18-1098	2018	0	-2
S18-1165	2018	1	-2
S18-1175	2018	1	-2
S18-1184	2018	0	-2
K18-2025	2018	1	-2
D18-1249	2018	4	-2
S17-2028	2017	25	-2
S17-2060	2017	3	-2
S17-2078	2017	3	-2
S17-2086	2017	9	-2
S17-2137	2017	2	-2
S17-2152	2017	11	-2
K17-3025	2017	1	-2
E17-1097	2017	0	-2
D17-1134	2017	-2	0
S16-1040	2016	-2	0
S16-1058	2016	1	-2
S16-1073	2016	11	-2
S16-1080	2016	3	-2
S16-1094	2016	6	-2
S16-1135	2016	7	-2
K16-2004	2016	8	-2
S15-2006	2015	9	-2
S15-2021	2015	8	-2
S15-2042	2015	10	-2
S15-2094	2015	7	-2
S15-2125	2015	14	-2
K15-2002	2015	-2	0
S14-2041	2014	4	-2
S14-2042	2014	15	-2
S14-2043	2014	2	-2
S14-2044	2014	61	-2
S13-2021	2013	-2	0
P13-1047	2013	35	-2
P13-1097	2013	6	-2
S12-1084	2012	0	-2
W10-4326	2010	8	-2
S10-1050	2010	8	-2
C10-2172	2010	78	-2
