2021.mtsummit-research.9	2021	-1	-2
2020.coling-main.576	2020	-1	-2
K19-1020	2019	1	-2
W18-6480	2018	1	-2
W18-6481	2018	3	-2
S16-1102	2016	2	-2
2016.amta-users.28	2016	-1	-2
S14-2030	2014	1	-2
2014.amta-researchers.6	2014	-1	-2
2013.mtsummit-papers.24	2013	-1	-2
W12-3156	2012	30	-2
J12-2007	2012	-1	-2
2012.amta-papers.26	2012	7	-2
2009.mtsummit-papers.14	2009	-1	-2
W07-0724	2007	38	-2
W07-0728	2007	109	-2
N07-1064	2007	114	-2
2007.mtsummit-papers.34	2007	-1	-2
W06-3118	2006	-2	0
N06-1004	2006	10	-2
H05-1095	2005	80	-2
2005.jeptalnrecital-long.24	2005	-1	-2
W03-0304	2003	16	-2
W03-0313	2003	35	-2
J03-3003	2003	103	-2
2003.mtsummit-papers.15	2003	-1	-2
2003.jeptalnrecital-long.18	2003	2	-2
langlais-simard-2002-merging	2002	-2	0
2001.mtsummit-papers.60	2001	21	-2
2001.jeptalnrecital-long.22	2001	-2	0
macklovitch-etal-2000-transsearch	2000	41	-2
W99-0602	1999	45	-2
W98-1504	1998	27	-2
P98-1117	1998	44	-2
C98-1113	1998	44	-2
1996.amta-1.14	1996	-1	-2
1992.tmi-1.7	1992	-1	-2
