2021.spnlp-1.4	2021	-1	-2
2021.splurobonlp-1.6	2021	-1	-2
2021.emnlp-main.647	2021	-1	-2
2021.acl-long.41	2021	-1	-2
2020.lrec-1.441	2020	-1	-2
2020.eamt-1.15	2020	0	-2
2020.coling-main.487	2020	-1	-2
W19-6610	2019	0	-2
Q19-1015	2019	0	-2
P19-1029	2019	1	-2
D19-3019	2019	-2	0
W18-1802	2018	0	-2
W18-1814	2018	2	-2
P18-1165	2018	6	-2
P18-1169	2018	8	-2
N18-3012	2018	4	-2
W17-4756	2017	2	-2
P17-1138	2017	6	-2
D17-1272	2017	-2	0
P16-1152	2016	17	-2
P16-1227	2016	5	-2
N16-1088	2016	-2	0
C16-2002	2016	8	-2
C16-2004	2016	-2	0
C16-1297	2016	0	-2
W15-4922	2015	1	-2
W15-3037	2015	29	-2
N15-1123	2015	4	-2
N15-1149	2015	6	-2
K15-1001	2015	3	-2
2015.mtsummit-wpslt.4	2015	-1	-2
2015.mtsummit-papers.13	2015	-1	-2
2015.iwslt-evaluation.6	2015	-2	0
2015.eamt-1.23	2015	1	-2
P14-2080	2014	13	-2
P14-1083	2014	9	-2
J14-1009	2014	10	-2
2014.iwslt-papers.12	2014	-1	-2
W13-2236	2013	3	-2
P13-2058	2013	1	-2
D13-1175	2013	10	-2
2013.mtsummit-papers.2	2013	-1	-2
2013.iwslt-evaluation.21	2013	0	-2
W12-3153	2012	25	-2
P12-1002	2012	51	-2
E12-1083	2012	8	-2
N10-1071	2010	11	-2
J10-3010	2010	58	-2
J08-1003	2008	47	-2
C08-1093	2008	41	-2
P07-1059	2007	198	-2
N06-1032	2006	-2	1
J06-3005	2006	0	-2
W05-0908	2005	134	-2
W04-3223	2004	38	-2
N04-1013	2004	107	-2
W03-2401	2003	103	-2
N03-1026	2003	77	-2
P02-1035	2002	246	-2
P00-1061	2000	62	-2
C00-2094	2000	45	-2
A00-2021	2000	32	-2
P99-1014	1999	138	-2
P99-1035	1999	15	-2
P99-1069	1999	159	-2
